Target ID,Target Name,Site Center WKT,Site Shape WKT
fossil0027,fossil_Philadelphia_USA,POINT(-75.16217999999998 39.95222000000007),"POLYGON((-75.62783377192416 39.59102480809455,-75.6327451970674 40.31150268807477,-74.69161480293256 40.31150268807477,-74.6965262280758 39.59102480809455,-75.62783377192416 39.59102480809455))"
fossil0028,fossil_San_Jose_USA,POINT(-121.88542 37.33865000000003),"POLYGON((-122.3346678727425 36.97737672723046,-122.3389816800654 37.69817900065048,-121.4318583199345 37.69817900065048,-121.4361721272574 36.97737672723046,-122.3346678727425 36.97737672723046))"
fossil0029,fossil_New_Delhi_India,POINT(77.21728000000007 28.63095000000004),"POLYGON((76.80959911030993 28.2694181466221,76.80680019655233 28.99122786065415,77.62775980344787 28.99122786065415,77.62496088969021 28.2694181466221,76.80959911030993 28.2694181466221))"
fossil0030,fossil_Cologne_Germany,POINT(6.955160000000035 50.94167000000004),"POLYGON((6.390409565314144 50.58073006227818,6.3816306488512 51.29981422438404,7.52868935114887 51.29981422438404,7.519910434685926 50.58073006227818,6.390409565314144 50.58073006227818))"
fossil0031,fossil_Houston_USA,POINT(-95.36967999999996 29.76058000000006),"POLYGON((-95.78178741114361 29.39907993548257,-95.78475112037187 30.12076737315947,-94.95460887962807 30.12076737315947,-94.95757258885632 29.39907993548257,-95.78178741114361 29.39907993548257))"
fossil0032,fossil_Jeddah_Saudi_Arabia,POINT(39.18279000000007 21.48172000000005),"POLYGON((38.79775612224839 21.12001406856408,38.79585173067218 21.84251907808761,39.56972826932795 21.84251907808761,39.56782387775175 21.12001406856408,38.79775612224839 21.12001406856408))"
fossil0033,fossil_Washington_DC_USA,POINT(-77.03195999999997 38.89037000000008),"POLYGON((-77.4906900928948 38.52914339792811,-77.49534847862266 39.24975389243416,-76.56857152137728 39.24975389243416,-76.57322990710514 38.52914339792811,-77.4906900928948 38.52914339792811))"
fossil0034,fossil_Osaka_Japan,POINT(135.5021619520001 34.69372590900008),"POLYGON((135.0674886362812 34.33237220841968,135.0637021186722 35.05349442828162,135.9406217853279 35.05349442828162,135.9368352677189 34.33237220841968,135.0674886362812 34.33237220841968))"
fossil0035,fossil_Buenos_Aires_Argentina,POINT(-58.37343999999996 -34.60848999999996),"POLYGON((-58.81144524536109 -34.96826607006663,-58.80767459574112 -34.24713370919442,-57.9392054042588 -34.24713370919442,-57.93543475463883 -34.96826607006663,-58.81144524536109 -34.96826607006663))"
fossil0036,fossil_Mexico_City_Mexico,POINT(-99.13314999999994 19.43194000000005),"POLYGON((-99.51320582415833 19.07019545101694,-99.5148906061518 19.79287098667811,-98.75140939384809 19.79287098667811,-98.75309417584154 19.07019545101694,-99.51320582415833 19.07019545101694))"
fossil0037,fossil_Shah_Alam_Malaysia,POINT(101.4942800000001 3.091980000000035),"POLYGON((101.1345482846127 2.730187498210553,101.134304476668 3.453647483422462,101.8542555233321 3.453647483422462,101.8540117153874 2.730187498210553,101.1345482846127 2.730187498210553))"
fossil0038,fossil_Taipei_Taiwan,POINT(121.5635500000001 25.03737000000007),"POLYGON((121.1683449258114 24.67574392851579,121.1660241410992 25.39792131995228,121.9610758589009 25.39792131995228,121.9587550741888 24.67574392851579,121.1683449258114 24.67574392851579))"
fossil0039,fossil_Phoenix_USA,POINT(-112.0758 33.44825000000003),"POLYGON((-112.5042431446238 33.08685856906219,-112.5078041113387 33.80812778283742,-111.6437958886612 33.80812778283742,-111.6473568553761 33.08685856906219,-112.5042431446238 33.08685856906219))"
fossil0040,fossil_Wuhan_China,POINT(114.3247200000001 30.64353000000006),"POLYGON((113.9089716418872 30.28205535141615,113.9058736026716 31.00364519715916,114.7435663973286 31.00364519715916,114.7404683581129 30.28205535141615,113.9089716418872 30.28205535141615))"
fossil0041,fossil_Hangzhou_China,POINT(120.16142 30.29365000000007),"POLYGON((119.7471338580362 29.93216522534582,119.7440896520959 30.6537939480198,120.5787503479042 30.6537939480198,120.5757061419638 29.93216522534582,119.7471338580362 29.93216522534582))"
fossil0042,fossil_Toronto_Canada,POINT(-79.38543999999996 43.64869000000004),"POLYGON((-79.87829872296797 43.28759827340157,-79.88422139105603 44.00760850502196,-78.88665860894388 44.00760850502196,-78.89258127703194 43.28759827340157,-79.87829872296797 43.28759827340157))"
fossil0043,fossil_Nanjing_China,POINT(118.77778 32.06167000000005),"POLYGON((118.3558347928944 31.70023703369554,118.3525099699074 32.42166667736534,119.2030500300927 32.42166667736534,119.1997252071057 31.70023703369554,118.3558347928944 31.70023703369554))"
fossil0044,fossil_Shenyang_China,POINT(123.4327800000001 41.79222000000004),"POLYGON((122.9542207060614 41.43107768852767,122.9488333318328 42.15132370454914,123.9167266681674 42.15132370454914,123.9113392939387 41.43107768852767,122.9542207060614 41.43107768852767))"
fossil0045,fossil_Melbourne_Australia,POINT(144.9671500000001 -37.81748999999996),"POLYGON((144.5106364036571 -38.17697457824525,144.5150535312344 -37.45623120295675,145.4192464687657 -37.45623120295675,145.4236635963431 -38.17697457824525,144.5106364036571 -38.17697457824525))"
fossil0046,fossil_Shantou_China,POINT(116.7147900000001 23.36814000000004),"POLYGON((116.3246128060812 23.00647455782205,116.3224936553329 23.72881055535464,117.1070863446672 23.72881055535464,117.104967193919 23.00647455782205,116.3246128060812 23.00647455782205))"
fossil0047,fossil_Madrid_Spain,POINT(-3.705769999999973 40.42028000000005),"POLYGON((-4.174594353967393 40.05909846871432,-4.179622152702166 40.77951759119254,-3.23191784729778 40.77951759119254,-3.236945646032581 40.05909846871432,-4.174594353967393 40.05909846871432))"
fossil0048,fossil_Kolkata_India,POINT(88.37124000000006 22.57054000000005),"POLYGON((87.98330534002241 22.20885689265919,87.98127858859141 22.93126571471385,88.76120141140865 22.93126571471385,88.7591746599777 22.20885689265919,87.98330534002241 22.20885689265919))"
fossil0049,fossil_Pusan_South_Korea,POINT(129.0402800000001 35.31),"POLYGON((128.6023790313168 34.94866504749815,128.5984758042244 35.66971360945325,129.4820841957757 35.66971360945325,129.4781809686833 34.94866504749815,128.6023790313168 34.94866504749815))"
fossil0050,fossil_Sydney_Australia,POINT(151.2069100000001 -33.86959999999993),"POLYGON((150.7727662361588 -34.22944107671659,150.776402018829 -33.50822130019899,151.6374179811712 -33.50822130019899,151.6410537638415 -34.22944107671659,150.7727662361588 -34.22944107671659))"
fossil0051,fossil_Xian_China,POINT(108.92512 34.27050000000003),"POLYGON((108.4926069855866 33.90913344755847,108.4888986199213 34.63030590628238,109.3613413800788 34.63030590628238,109.3576330144135 33.90913344755847,108.4926069855866 33.90913344755847))"
fossil0052,fossil_Chengdu_China,POINT(104.0758000000001 30.67190000000005),"POLYGON((103.6599319449112 30.31042617547351,103.656829505132 31.03201285731109,104.4947704948681 31.03201285731109,104.4916680550889 30.31042617547351,103.6599319449112 30.31042617547351))"
fossil0053,fossil_Huhot_China,POINT(118.54583 25.76444000000004),"POLYGON((118.1482880505816 25.40283201898684,118.145875663675 26.12493781023424,118.9457843363251 26.12493781023424,118.9433719494185 25.40283201898684,118.1482880505816 25.40283201898684))"
fossil0054,fossil_Boston_USA,POINT(-71.05673999999993 42.35866000000004),"POLYGON((-71.53951971757938 41.9975334610992,-71.545064147 42.71770768811299,-70.5684158529999 42.71770768811299,-70.57396028242053 41.9975334610992,-71.53951971757938 41.9975334610992))"
fossil0055,fossil_Baotou_China,POINT(109.8222200000001 40.65222000000006),"POLYGON((109.3517967223803 40.29104518956779,109.34671010619 41.01143513439498,110.2977298938101 41.01143513439498,110.2926432776198 40.29104518956779,109.3517967223803 40.29104518956779))"
fossil0056,fossil_Taiyuan_China,POINT(112.54952 37.88141000000007),"POLYGON((112.0970381338729 37.52015313107295,112.0926070162062 38.24088862417344,113.0064329837939 38.24088862417344,113.0020018661272 37.52015313107295,112.0970381338729 37.52015313107295))"
fossil0057,fossil_Denver_USA,POINT(-104.99202 39.74001000000004),"POLYGON((-105.4562605798458 39.37880857456348,-105.4611202406281 40.09931303640251,-104.5229197593719 40.09931303640251,-104.5277794201541 39.37880857456348,-105.4562605798458 39.37880857456348))"
fossil0058,fossil_Athens_Greece,POINT(23.73640000000006 37.97614000000004),"POLYGON((23.28334471993969 37.61488598651998,23.27889278162718 38.33560978975403,24.19390721837294 38.33560978975403,24.18945528006043 37.61488598651998,23.28334471993969 37.61488598651998))"
fossil0059,fossil_Atlanta_USA,POINT(-84.39110999999997 33.74831000000006),"POLYGON((-84.82101917107379 33.38692763129029,-84.82463326485566 34.10816167019384,-83.95758673514426 34.10816167019384,-83.96120082892614 33.38692763129029,-84.82101917107379 33.38692763129029))"
fossil0060,fossil_Seattle_USA,POINT(-122.32945 47.60357000000005),"POLYGON((-122.8577782081765 47.24257215960529,-122.865072750597 47.96207827887452,-121.793827249403 47.96207827887452,-121.8011217918234 47.24257215960529,-122.8577782081765 47.24257215960529))"
fossil0061,fossil_Yinchuan_China,POINT(106.2652100000001 38.46662000000003),"POLYGON((105.8091422769001 38.10538072817311,105.8045808414823 38.82604384945809,106.7258391585178 38.82604384945809,106.7212777231001 38.10538072817311,105.8091422769001 38.10538072817311))"
fossil0062,fossil_Sao_Paulo_Brazil,POINT(-46.65467999999998 -23.56286999999998),"POLYGON((-47.0475622270171 -23.92352690864139,-47.04542014372504 -23.20120898706307,-46.26393985627493 -23.20120898706307,-46.26179777298287 -23.92352690864139,-47.0475622270171 -23.92352690864139))"
fossil0063,fossil_Berlin_Germany,POINT(13.37691000000007 52.51604000000003),"POLYGON((12.79245342578753 52.15511822704568,12.78283650974072 52.87400614025717,13.97098349025941 52.87400614025717,13.9613665742126 52.15511822704568,12.79245342578753 52.15511822704568))"
fossil0064,fossil_Minneapolis_USA,POINT(-93.26493999999997 44.97902000000005),"POLYGON((-93.7689180723804 44.61796227014347,-93.77526364285765 45.33780293049721,-92.75461635714228 45.33780293049721,-92.76096192761953 44.61796227014347,-93.7689180723804 44.61796227014347))"
fossil0065,fossil_Zhengzhou_China,POINT(113.6486100000001 34.75778000000003),"POLYGON((113.2136057706243 34.39642824650009,113.2098072851634 35.11754283791313,114.0874127148367 35.11754283791313,114.0836142293758 34.39642824650009,113.2136057706243 34.39642824650009))"
fossil0066,fossil_Chongqing_China,POINT(106.55278 29.56278000000003),"POLYGON((106.1414661791146 29.2012743069914,106.1385318834297 29.9229833690706,106.9670281165704 29.9229833690706,106.9640938208855 29.2012743069914,106.1414661791146 29.2012743069914))"
fossil0067,fossil_Doha_Qatar,POINT(51.51907000000006 25.29502000000008),"POLYGON((51.12304724029713 24.93340027700211,51.12069426922264 25.65555246574329,51.91744573077747 25.65555246574329,51.91509275970299 24.93340027700211,51.12304724029713 24.93340027700211))"
fossil0068,fossil_Mumbai_India,POINT(72.83486000000005 18.94017000000002),"POLYGON((72.4559079657653 18.57841708387648,72.45427396591094 19.30113140403939,73.21544603408915 19.30113140403939,73.21381203423482 18.57841708387648,72.4559079657653 18.57841708387648))"
fossil0069,fossil_Ad_Damman_Saudi_Arabia,POINT(50.06027000000006 26.44041000000004),"POLYGON((49.66047250840367 26.07881931044243,49.6579727441376 26.80085722165757,50.46256725586252 26.80085722165757,50.46006749159645 26.07881931044243,49.66047250840367 26.07881931044243))"
fossil0070,fossil_Wenzhou_China,POINT(120.66682 27.99942000000004),"POLYGON((120.2615044971148 27.63787077754521,120.2587944740994 28.35974752458125,121.0748455259006 28.35974752458125,121.0721355028853 27.63787077754521,120.2615044971148 27.63787077754521))"
